Topic,Count,Name,Representation,Representative_Docs
0,218,0_hai_bahut_per_ho,"['hai', 'bahut', 'per', 'ho', 'ka', 'raha', 'xx', 'aur', 'de', 'hi']","['abaki bar jo update aaya hai vah sahi nahin hai song double sound kar raha hai awesome replace bhi nahin ho raha hai', 'bahut achha app hai jesa mood rehta hai wese hi reel dikhate hai min pehle aap sad toh sad hi reel aayegi ussi situation ke hisaab se min baad aap khush ho gye toh happy wali hi reel aayegi love thank instagram algorithm making feel ki koi toh hai jo mujhe samjhta hai', 'good instagram bahut achcha hai yah app jo mujhko dekhne mein maja aata hai aur story bhi lagane mein aur follower bhi batao follower bhi bahut jyada badhta hai aur scholar badhane mein maja bhi aata hai aur sare log batao kya kar sakte ho aap log aur main per bahut sare video bhi dekhta hun dalta bhi hun aur mere jaan lo fal aur honge kuchh aur aapka kitna hai please bataen per theek hai byebye good bye aur app per dekhne mein bahut jyada hi maja aata hai aap aur per bahut']"
1,158,1_good_intertanment_shes_contain,"['good', 'intertanment', 'shes', 'contain', 'disadvantages', 'gave', 'starsit', 'vbe', 'means', 'five']","['good', 'good', 'good']"
2,118,2_fun_happy_mast_working,"['fun', 'happy', 'mast', 'working', 'helpful', 'useful', 'easy', 'use', 'addictive', 'full']","['fun', 'nice fun use', 'best use fun']"
4,88,4_reels_post_video_story,"['reels', 'post', 'video', 'story', 'upload', 'videos', 'reel', 'feature', 'bugs', 'cant']","['sooo anooying tried upload pic story add music js gives black screen anr even highlight button gone know glitch probably everything save insta please fix something frustrating anooying archive story anooying need post storys music need highlight button jst magically disappeared editi post music pics highlight button still', 'cant upload reel another video uploaded', 'edit video edits reels link inside video keep error upload cant report ig profile number posts increased even though video uploaded error uploaded successfullyso exhausting']"
3,87,3_nice_iruinga_niceee_ah,"['nice', 'iruinga', 'niceee', 'ah', 'vet', 'safe', '', '', '', '']","['nice', 'nice', 'nice']"
5,73,5_cant_update_fix_problem,"['cant', 'update', 'fix', 'problem', 'bug', 'pls', 'comments', 'blocked', 'app', 'bad']","['good samsung cant use location sticker lowercase letters change colour greek fonts good dont work certain letters like im forced getting iphone get full experience worth', 'hello meta phone working latest update pls help app important rating u help pls tell user', 'app terrible try comment cant see im typing interface sucks comments cant edited click thread read comments half dont show']"
9,52,9_social_friends_media_sharing,"['social', 'friends', 'media', 'sharing', 'people', 'new', 'connecting', 'settings', 'make', 'best']","['amazing app connecting people expressing honestly one best social platforms right two small updates could make even better option hide notes specific people instead close friends search bar story viewers list quickly find someone small changes would seriously improve user experience', 'best social media app love easy stay connected friends discover new creators interface clean constant updates keep things fresh', 'best social media app']"
13,51,13_best_ever_forever_entertainment,"['best', 'ever', 'forever', 'entertainment', 'better', 'always', 'item', 'journy', 'attacted', 'tp']","['best', 'best', 'best']"
14,39,14_excellent_beautiful_nice_perfect,"['excellent', 'beautiful', 'nice', 'perfect', 'work', 'good', 'except', 'ffffff', 'woowwww', 'communication']","['good excellent', 'good excellent', 'excellent good']"
23,33,23_password_login_logging_log,"['password', 'login', 'logging', 'log', 'issue', 'incorrect', 'browser', 'tried', 'even', 'account']","['hello issue logging instagram account tried everything entered correct password tried logging email even deleted reinstalled app time despite attempts log perfectly fine browser app phone simply wont let please help resolve issue followed possible steps im still unable access account app problem faced twice thank', 'hello issue logging instagram account tried everything entered correct password tried logging email even deleted reinstalled app time despite attempts log perfectly fine browser app phone simply wont let please help resolve issue followed possible steps im still unable access account app thank', 'hi issue logging instagram account tried everything entered correct password tried logging email even deleted reinstalled app time despite attempts log perfectly fine browser app phone simply wont let please help resolve issue followed possible steps im still unable access account two years login account problem']"
